layer,neuron,primary_concept,primary_score,primary_AP,primary_AUROC,primary_P(fire|1),primary_P(fire|0),primary_lift,primary_label_support,primary_neuron_fires_total,secondary_concept,secondary_score,secondary_AP,secondary_AUROC,secondary_P(fire|1),secondary_P(fire|0),secondary_lift,secondary_label_support,polarity_score,polarity_flag
1,315,female,0.2405,0.2404760578866437,0.5057342657342657,0.209090909090909,0.1358974358974359,1.538593470667983,110,76,marriage,0.2277,0.2277372619178994,0.4704657819411918,0.0983606557377049,0.1693121693121693,0.5809426195196273,122,0.053,two-strong
1,868,marriage,0.2401,0.2400642437915539,0.5056162720097146,0.1229508196721311,0.1349206349206349,0.9112825390509957,122,66,emotion,0.2389,0.238854773851938,0.5716012997808508,0.202020202020202,0.1147132169576059,1.761089137041397,99,0.005,two-strong
1,2064,society,0.2389,0.23887841057428,0.6031001765225066,0.1704545454545454,0.1237864077669902,1.3770053364695396,88,66,family,0.226,0.2260141274297321,0.5094718442932729,0.1481481481481481,0.1275510204081632,1.1614814723754667,108,0.0539,two-strong
1,2012,marriage,0.2385,0.2385150290847474,0.5038273050568133,0.180327868852459,0.2142857142857142,0.8415300507176686,122,103,wealth,0.2254,0.2254085819946235,0.5896739130434783,0.2608695652173913,0.1936274509803921,1.3472757222659133,92,0.055,two-strong
1,733,marriage,0.2358,0.235776599982257,0.5209038077890538,0.0737704918032786,0.1137566137566137,0.6484940850350833,122,52,emotion,0.2163,0.2163376255968958,0.5413738381319428,0.1111111111111111,0.1022443890274314,1.086720856580012,99,0.0824,two-strong
1,1716,marriage,0.2345,0.2345425460636946,0.4897432561366988,0.0163934426229508,0.0502645502645502,0.3261432204312249,122,21,female,0.2204,0.2203826089774562,0.4716783216783216,0.0454545454545454,0.041025641025641,1.107954518448154,110,0.0604,two-strong
1,1686,female,0.2337,0.233703946413954,0.5224475524475525,0.0818181818181818,0.0794871794871794,1.0293255002469022,110,40,marriage,0.2215,0.2214964104796911,0.4127851504900685,0.0327868852459016,0.0952380952380952,0.3442622914672132,122,0.0522,two-strong
1,1767,female,0.2324,0.2323539394577308,0.4826923076923077,0.0818181818181818,0.0461538461538461,1.7727272343181826,110,27,family,0.2319,0.2318537096891477,0.5214474678760394,0.0648148148148148,0.0510204081632653,1.2703703454711115,108,0.0022,two-strong
1,866,male,0.2304,0.2303996557166093,0.5365147016569294,0.1037735849056603,0.0685279187817258,1.5143256243031813,106,38,emotion,0.2176,0.2175800260946583,0.502783445426837,0.0707070707070707,0.0773067331670823,0.9146301608635052,99,0.0556,two-strong
1,2467,marriage,0.2284,0.2284102751074349,0.477242171914303,0.0245901639344262,0.0608465608465608,0.4041339919326289,122,26,male,0.2116,0.2115865139350158,0.4633895220764294,0.0566037735849056,0.0507614213197969,1.1150943176552834,106,0.0737,two-strong
1,245,marriage,0.2282,0.2281692366722024,0.4718969555035129,0.0163934426229508,0.0317460317460317,0.5163934263565579,122,14,family,0.2272,0.2272178679907358,0.5232898715041572,0.0277777777777777,0.0280612244897959,0.9898989546225908,108,0.0042,two-strong
1,549,love,0.224,0.2240474496383751,0.6211960132890366,0.2142857142857142,0.1348837209302325,1.588669938960846,70,73,male,0.2146,0.2145838451927707,0.4960731730677138,0.1320754716981132,0.149746192893401,0.88199551697543,106,0.0422,two-strong
1,20,male,0.2166,0.2165566630674899,0.4377095105832774,0.1792452830188679,0.1928934010152284,0.9292452782014649,106,95,female,0.2128,0.2128487962303249,0.4363286713286713,0.1545454545454545,0.2,0.7727272688636363,110,0.0171,two-strong
